Gene1,Gene2,Score
ESR1,RB1,189.0
ESR1,PRUNE2,168.0
ESR1,CDK18,242.0
ESR1,UBL4A,201.0
ESR1,ZFP275,240.0
ESR1,USP11,249.0
ESR1,NFIA,331.0
ESR1,CAVIN2,311.0
ESR1,TCN2,272.0
ESR1,TSPAN13,151.0
ESR1,GLIPR2,210.0
ESR1,SERPINB1A,150.0
ESR1,H2-M3,317.0
ESR1,CERS4,207.0
ESR1,BC005561,262.0
ESR1,RPAP1,200.0
ESR1,CAR2,524.0
ESR1,AFAP1L1,277.0
ESR1,MNS1,233.0
ESR1,XK,286.0
ESR1,TSPAN2,192.0
ESR1,ZFP930,156.0
ESR1,SLC14A1,514.0
ESR1,PPP1R9A,200.0
ESR1,DCAF4,178.0
ESR1,TAF9B,245.0
ESR1,PRR5,137.0
ESR1,KAZALD1,203.0
ESR1,TOX,407.0
ESR1,PDE9A,378.0
ESR1,WDR55,239.0
ESR1,TRPV2,171.0
ESR1,TRPS1,305.0
ESR1,STX11,295.0
ESR1,KIT,264.0
ESR1,PPFIA4,393.0
ESR1,REEP6,195.0
ESR1,NPDC1,416.0
ESR1,VAMP5,201.0
ESR1,TFEC,223.0
ESR1,ANKRD27,205.0
ESR1,GMPR,176.0
ESR1,CD99L2,204.0
ESR1,ADGRG3,205.0
ESR1,SYDE1,230.0
ESR1,PRKCH,168.0
ESR1,CKAP2,205.0
ESR1,CASP4,153.0
ESR1,NSDHL,175.0
ESR1,FMO5,221.0
ESR1,CD9,197.0
ESR1,ABCD2,272.0
ESR1,SFXN1,264.0
ESR1,PAQR9,270.0
ESR1,OTULINL,175.0
ESR1,GRK3,201.0
ESR1,EYA2,468.0
ESR1,PLEKHA2,387.0
ESR1,MAGEH1,199.0
ESR1,NUAK2,300.0
ESR1,SERPINE2,196.0
ESR1,EPDR1,367.0
ESR1,DDX60,181.0
ESR1,ADAM22,185.0
ESR1,DMD,245.0
ESR1,MCM10,188.0
ESR1,FUT7,224.0
ESR1,CCL9,455.0
ESR1,FUT4,342.0
ESR1,NLRC3,192.0
ESR1,ZFP658,215.0
ESR1,TIMP3,148.0
ESR1,MCPT8,164.0
ESR1,MCTP1,447.0
ESR1,GP9,171.0
ESR1,MYCN,176.0
ESR1,PDE1B,170.0
ESR1,RASA4,227.0
ESR1,ZFP160,152.0
ESR1,GFI1,168.0
ESR1,GPRASP2,175.0
ESR1,EMILIN2,433.0
ESR1,PRPS1,217.0
ESR1,NRROS,423.0
ESR1,ATP6AP1,199.0
ESR1,CD1D1,312.0
ESR1,PTPRE,155.0
ESR1,SLC16A11,316.0
ESR1,AFF3,194.0
ESR1,PPM1M,284.0
ESR1,GSTT1,169.0
ESR1,SAMD14,126.0
ESR1,IRF8,174.0
ESR1,POMGNT2,156.0
ESR1,ELANE,301.0
ESR1,AP1B1,203.0
ESR1,PRDM5,168.0
ESR1,LIMD2,152.0
ESR1,EFCC1,336.0
ESR1,UPP1,168.0
ESR1,LCK,183.0
ESR1,PLPPR3,230.0
ESR1,SLC22A18,396.0
ESR1,TUBA4A,160.0
ESR1,GABBR1,228.0
ESR1,SLC35G1,199.0
ESR1,SEPT8,138.0
ESR1,GNA14,156.0
ESR1,RAMP1,156.0
ESR1,VPS41,157.0
ESR1,PORCN,263.0
ESR1,PAQR5,274.0
ESR1,MC5R,201.0
ESR1,PLXNA1,170.0
ESR1,PPM1H,218.0
ESR1,CD24A,151.0
ESR1,NAGA,164.0
ESR1,SNX10,243.0
ESR1,KIF17,265.0
ESR1,FLOT2,254.0
ESR1,VLDLR,140.0
ESR1,SLCO4A1,254.0
ESR1,SLC2A3,147.0
ESR1,PLXDC2,137.0
ESR1,ANK,247.0
ESR1,CCNF,271.0
ESR1,TSPAN33,180.0
ESR1,MCOLN2,274.0
ESR1,EPS8,197.0
ESR1,A430033K04RIK,156.0
ESR1,TLE2,192.0
ESR1,PARVG,198.0
ESR1,RP2,196.0
ESR1,PDGFRB,134.0
ESR1,SH3BGRL,155.0
ESR1,CRIP1,188.0
ESR1,NAPSA,340.0
ESR1,IFI47,220.0
ESR1,DPY19L3,189.0
ESR1,ADORA2A,189.0
ESR1,ADD2,178.0
ESR1,HNMT,191.0
ESR1,GAS2L3,121.0
ESR1,CTLA2B,323.0
ESR1,AMIGO2,160.0
ESR1,ASNS,216.0
ESR1,B4GALT4,182.0
ESR1,VIPR2,214.0
ESR1,UHRF1,125.0
ESR1,CD200,188.0
ESR1,ALDOC,179.0
ESR1,SLC23A2,143.0
ESR1,ITGA6,306.0
ESR1,HMGB3,148.0
ESR1,GATM,202.0
ESR1,CPT1A,167.0
ESR1,IRF5,172.0
ESR1,GOLM1,203.0
ESR1,CYTIP,162.0
ESR1,CADPS2,300.0
ESR1,MTAP,165.0
ESR1,2210016F16RIK,190.0
ESR1,PARP8,180.0
ESR1,GPRC5B,128.0
ESR1,TUBB5,177.0
ESR1,CX3CL1,106.0
ESR1,TBC1D24,195.0
ESR1,UBXN11,190.0
ESR1,CHST10,146.0
ESR1,DOCK10,144.0
ESR1,TES,143.0
ESR1,STK10,144.0
ESR1,ZFP934,175.0
ESR1,PABPC4L,146.0
ESR1,MPEG1,144.0
ESR1,MAGED2,157.0
ESR1,ABCB4,272.0
ESR1,ANGPT1,147.0
ESR1,E2F8,136.0
ESR1,MGLL,171.0
ESR1,ZFP952,152.0
ESR1,SEC14L1,142.0
ESR1,GM973,143.0
ESR1,ABCG2,155.0
ESR1,POMGNT1,154.0
ESR1,METTL15,161.0
ESR1,CNN2,174.0
ESR1,MKI67,257.0
ESR1,HELLS,161.0
ESR1,ANKRD44,197.0
ESR1,EMB,153.0
ESR1,ZMIZ1,140.0
ESR1,WFDC2,164.0
ESR1,TFPI,139.0
ESR1,VWF,147.0
ESR1,CNP,144.0
ESR1,SLC45A3,159.0
ESR1,KLHL23,131.0
ESR1,GPX3,243.0
ESR1,CHCHD10,242.0
ESR1,NFATC1,122.0
ESR1,AK1,141.0
ESR1,THSD1,237.0
ESR1,RBM11,136.0
ESR1,IFI203,140.0
ESR1,RHOJ,123.0
ESR1,PRIM1,136.0
ESR1,CCNB1,148.0
ESR1,SFRP1,160.0
ESR1,ALDH1A7,228.0
ESR1,ZFP36,119.0
ESR1,SSH3,132.0
ESR1,PKIB,227.0
ESR1,CPA3,122.0
ESR1,COX7B,112.0
ESR1,SLC6A15,123.0
ESR1,ACSS1,124.0
ESR1,RTP4,123.0
ESR1,PRPS2,136.0
ESR1,APEH,130.0
ESR1,RSAD2,109.0
ESR1,PTGER2,214.0
ESR1,SERPINA3N,211.0
ESR1,CAND2,105.0
ESR1,SLC35F6,110.0
ESR1,BUB1,108.0
ESR1,TRIB2,121.0
ESR1,UBASH3A,125.0
ESR1,ST3GAL6,105.0
ESR1,TBC1D2B,115.0
ESR1,RASSF4,105.0
ESR1,LCP1,190.0
ESR1,GGTA1,187.0
ESR1,ANXA1,187.0
ESR1,SP100,183.0
ESR1,ITIH5,119.0
ESR1,ZFP932,179.0
ESR1,HNF4A,179.0
ESR1,CTSC,178.0
ESR1,IRF6,170.0
ESR1,GABRE,170.0
ESR1,ADGRD1,170.0
ESR1,MFSD6,169.0
ESR1,GM12185,168.0
ESR1,F830016B08RIK,165.0
ESR1,ZFP954,163.0
ESR1,TREM3,163.0
ESR1,S1PR3,162.0
ESR1,TBXA2R,160.0
ESR1,SLC35D3,160.0
ESR1,GPR4,160.0
ESR1,PECAM1,159.0
ESR1,ASPM,158.0
ESR1,KIF22,157.0
ESR1,NOXA1,155.0
ESR1,SLC38A5,154.0
ESR1,GDF3,154.0
ESR1,MAP4K2,153.0
ESR1,PLCB2,150.0
ESR1,CHIC1,150.0
ESR1,TMEM185A,149.0
ESR1,HDC,146.0
ESR1,CELA1,144.0
ESR1,MAGEE1,143.0
ESR1,IL18RAP,143.0
ESR1,CLCA3A1,143.0
ESR1,MNDAL,142.0
ESR1,MPI,141.0
ESR1,MYO1F,140.0
ESR1,CCR2,139.0
ESR1,ABCG3,139.0
ESR1,NDN,136.0
ESR1,MCEMP1,135.0
ESR1,GCLC,135.0
ESR1,TNFRSF26,134.0
ESR1,LY6C2,134.0
ESR1,IL12A,133.0
ESR1,ELMO3,133.0
ESR1,SLC9A9,132.0
ESR1,PIM2,132.0
ESR1,EMCN,132.0
ESR1,TTF2,131.0
ESR1,TEK,131.0
ESR1,VDR,127.0
ESR1,SAMD10,127.0
ESR1,IL27RA,127.0
ESR1,CCNB2,127.0
ESR1,ARHGAP27,127.0
ESR1,CD274,126.0
ESR1,PRKCQ,125.0
ESR1,IL7R,125.0
ESR1,S1PR1,122.0
ESR1,ITM2A,120.0
ESR1,PRSS57,119.0
ESR1,STARD10,118.0
ESR1,SEPT6,118.0
ESR1,PDE1C,118.0
ESR1,NAP1L3,117.0
ESR1,HIF3A,117.0
ESR1,LDHD,116.0
ESR1,F11R,115.0
ESR1,FCGR2B,112.0
ESR1,NRXN1,111.0
ESR1,RHOH,109.0
ESR1,DDX58,109.0
ESR1,SLC25A21,108.0
ESR1,SPTA1,107.0
ESR1,DDX4,106.0
ESR1,MBNL3,105.0
ESR1,CMAH,105.0
ESR1,PTGS1,102.0
ESR1,NDNF,101.0
ESR1,MYB,436.0
FOS,ARRDC4,2961.0
FOS,ATP5B,3051.0
FOS,FDFT1,2668.0
FOS,UBE2C,2792.0
FOS,VPS26B,2379.0
FOS,SRM,2545.0
FOS,GLRX5,2567.0
FOS,NUCB2,2298.0
FOS,STIP1,2267.0
FOS,MBOAT2,2258.0
FOS,ATP5G1,1797.0
FOS,JPT1,1916.0
FOS,DCAF11,1751.0
FOS,LMNA,1340.0
FOS,TOP2A,1849.0
FOS,RPN2,2145.0
FOS,WDR62,1813.0
FOS,FOXRED1,1389.0
FOS,SUN1,1652.0
FOS,JPT2,2124.0
FOS,ELF1,2092.0
FOS,ABCB8,1251.0
FOS,MYH10,1961.0
FOS,MTMR4,1370.0
FOS,ZFP143,1802.0
FOS,TUBB4B,1750.0
FOS,HSPA5,1365.0
FOS,BBS12,1463.0
FOS,MIS12,1615.0
FOS,PARP3,1303.0
FOS,SPC25,1427.0
FOS,DYNLL1,1777.0
FOS,BCAS3,1646.0
FOS,CREB5,895.0
FOS,PRMT5,1987.0
FOS,PRNP,1055.0
FOS,IFT140,1405.0
FOS,HSP90B1,1724.0
FOS,ARHGAP18,1308.0
FOS,KNL1,1902.0
FOS,CANX,1656.0
FOS,PIMREG,1426.0
FOS,NUBP2,841.0
FOS,MPZL1,1636.0
FOS,SOCS5,1337.0
FOS,TOMM40,1265.0
FOS,MCM5,1573.0
FOS,EMP1,845.0
FOS,CDCA3,899.0
FOS,S100A10,1474.0
FOS,GOLT1B,1436.0
FOS,NUSAP1,1459.0
FOS,STIL,1548.0
FOS,WDR36,948.0
FOS,SDF2L1,1103.0
FOS,TCF19,1518.0
FOS,P4HB,1501.0
FOS,XRCC3,1443.0
FOS,MTOR,1496.0
FOS,SLC25A45,746.0
FOS,KCTD9,976.0
FOS,ADGRG1,913.0
FOS,VIM,839.0
FOS,CHCHD2,898.0
FOS,SEL1L,1284.0
FOS,QARS,895.0
FOS,FAM76B,1428.0
FOS,STT3A,1355.0
FOS,RUVBL2,1361.0
FOS,GYS1,1361.0
FOS,NCAPG2,983.0
FOS,LRRC8B,1258.0
FOS,CREBRF,1130.0
FOS,H2AFX,1291.0
FOS,CALR,1246.0
FOS,CLTC,1205.0
FOS,CELA1,1113.0
FOS,LSP1,1214.0
FOS,CBX5,851.0
FOS,CDT1,986.0
FOS,ZFP367,791.0
FOS,P2RY14,1496.0
FOS,KLF6,1398.0
FOS,SORT1,1252.0
FOS,COQ8A,1212.0
FOS,PACSIN2,1100.0
FOS,TANGO2,1204.0
FOS,MYNN,1893.0
FOS,HERPUD1,962.0
FOS,CENPK,1162.0
FOS,ARVCF,1204.0
FOS,CTLA2B,1450.0
FOS,PLEC,872.0
FOS,FAM107B,767.0
FOS,2610301B20RIK,1948.0
FOS,RPS6KA5,981.0
FOS,VDR,1361.0
FOS,RNF13,1052.0
FOS,SACM1L,1653.0
FOS,NARF,851.0
FOS,EZR,853.0
FOS,TXNIP,1291.0
FOS,ECT2,1182.0
FOS,CDCA8,986.0
FOS,ORC2,1066.0
FOS,NCAPD2,1395.0
FOS,CYTIP,977.0
FOS,FAR1,1212.0
FOS,NARS,645.0
FOS,CAPG,740.0
FOS,SLC46A3,774.0
FOS,HSPA8,616.0
FOS,MED16,924.0
FOS,UPP1,754.0
FOS,SHISA5,905.0
FOS,IRF5,1023.0
FOS,HIST1H1C,1083.0
FOS,CLCN3,615.0
FOS,IRF8,1069.0
FOS,PRR5L,779.0
FOS,TNPO1,812.0
FOS,MORF4L2,936.0
FOS,PTPRE,1141.0
FOS,SLC39A13,875.0
FOS,ARHGAP19,670.0
FOS,CD63,703.0
FOS,ISG20,733.0
FOS,RANGAP1,534.0
FOS,OASL1,917.0
FOS,CAV2,643.0
FOS,FZR1,709.0
FOS,MPND,856.0
FOS,SLFN2,728.0
FOS,FAM214A,435.0
FOS,YBX1,754.0
FOS,ZFP871,690.0
FOS,XAB2,906.0
FOS,OSGIN1,615.0
FOS,DDX39,719.0
FOS,EPS8,969.0
FOS,ADCY7,796.0
FOS,XAF1,853.0
FOS,SMARCA2,518.0
FOS,N4BP3,844.0
FOS,IFI203,911.0
FOS,CD244A,866.0
FOS,CCT6A,660.0
FOS,SSH2,400.0
FOS,H2-EB1,534.0
FOS,NAA35,863.0
FOS,CKS1B,715.0
FOS,JAK2,607.0
FOS,TUBGCP2,619.0
FOS,FOXO1,953.0
FOS,CD68,835.0
FOS,FEM1B,798.0
FOS,RCOR1,830.0
FOS,COPS8,556.0
FOS,CKAP2L,627.0
FOS,MCM3,827.0
FOS,FBXO5,884.0
FOS,UNK,405.0
FOS,KCTD20,523.0
FOS,IL1R1,645.0
FOS,DDOST,652.0
FOS,CD1D1,732.0
FOS,MFSD1,1883.0
FOS,ZYX,523.0
FOS,GBP9,957.0
FOS,NFKBIE,805.0
FOS,HJURP,561.0
FOS,GAS2L3,494.0
FOS,FAM185A,408.0
FOS,TES,525.0
FOS,MTHFD1,521.0
FOS,ANXA2,651.0
FOS,PHTF2,870.0
FOS,ZFP954,568.0
FOS,CAT,695.0
FOS,ZFP945,451.0
FOS,GBP3,626.0
FOS,FAM126A,744.0
FOS,ATP8B4,832.0
FOS,CISH,518.0
FOS,TMEM97,693.0
FOS,ASPM,587.0
FOS,HEXA,1889.0
FOS,ARL6IP6,580.0
FOS,RMND5A,696.0
FOS,CKS2,502.0
FOS,IMMT,746.0
FOS,ZBTB40,1614.0
FOS,CHP1,524.0
FOS,APOE,775.0
FOS,PALLD,451.0
FOS,ZFP930,503.0
FOS,INCENP,561.0
FOS,ZFP39,500.0
FOS,EVI2A,587.0
FOS,ASF1B,728.0
FOS,CAPN2,475.0
FOS,ZSCAN21,608.0
FOS,CTNNAL1,482.0
FOS,TSPAN33,653.0
FOS,TARS,410.0
FOS,HIST1H2BC,568.0
FOS,NAGLU,379.0
FOS,KAT7,679.0
FOS,A430033K04RIK,478.0
FOS,ARHGDIB,672.0
FOS,FGD4,350.0
FOS,DPY19L4,571.0
FOS,HMMR,723.0
FOS,ZFP961,633.0
FOS,HNRNPAB,708.0
FOS,GNPDA1,885.0
FOS,CLCF1,537.0
FOS,RHOJ,483.0
FOS,LMBRD1,443.0
FOS,DUSP6,411.0
FOS,CD44,442.0
FOS,ITGB7,818.0
FOS,SLC45A3,395.0
FOS,PLAA,398.0
FOS,SGMS1,382.0
FOS,STARD4,757.0
FOS,MNDAL,744.0
FOS,CENPA,401.0
FOS,TTF2,515.0
FOS,CCNB2,590.0
FOS,FER,696.0
FOS,TMEM43,463.0
FOS,PAFAH2,406.0
FOS,TTPAL,603.0
FOS,USP22,448.0
FOS,USF3,595.0
FOS,SPATA13,446.0
FOS,GTF2E1,482.0
FOS,CYP4V3,644.0
FOS,ARL11,617.0
FOS,PCNA,444.0
FOS,SLC9A9,423.0
FOS,NUDT9,620.0
FOS,PLCL1,724.0
FOS,9430015G10RIK,579.0
FOS,FCRL1,897.0
FOS,NFKBIA,773.0
FOS,STX11,493.0
FOS,MARCH8,1807.0
FOS,F2R,1070.0
FOS,WARS,417.0
FOS,PPM1M,883.0
FOS,E2F8,369.0
FOS,CCNB1,553.0
FOS,SMPDL3A,515.0
FOS,CKAP5,598.0
FOS,GBP2,523.0
FOS,HIF3A,760.0
FOS,SPTY2D1,386.0
FOS,ZSCAN22,325.0
FOS,CFP,489.0
FOS,STAM,369.0
FOS,OAS3,706.0
FOS,UBA7,628.0
FOS,ELMOD2,688.0
FOS,PCYT1A,364.0
FOS,EPS15,479.0
FOS,ZEB2,385.0
FOS,GCNT2,573.0
FOS,MRM1,322.0
FOS,TMEM184C,421.0
FOS,SPC24,515.0
FOS,CLEC12A,628.0
FOS,ITGA5,479.0
FOS,TNIP3,666.0
FOS,CLCN4,445.0
FOS,SPHK1,428.0
FOS,EGR1,809.0
FOS,PLEK,616.0
FOS,LAPTM5,502.0
FOS,MRPL37,523.0
FOS,CRK,1230.0
FOS,TCF12,347.0
FOS,ELOVL5,622.0
FOS,ERLIN1,531.0
FOS,RPA2,341.0
FOS,TFG,293.0
FOS,SCARB1,425.0
FOS,HNRNPLL,552.0
FOS,CDCA4,552.0
FOS,MT2,425.0
FOS,FBXW5,412.0
FOS,LPP,391.0
FOS,EXOC4,603.0
FOS,IL18RAP,590.0
FOS,ETF1,581.0
FOS,ITSN1,479.0
FOS,PDIA6,570.0
FOS,CTNNA1,254.0
FOS,RAD51AP1,491.0
FOS,PICALM,477.0
FOS,MNS1,477.0
FOS,HSPA4L,475.0
FOS,PSAP,356.0
FOS,ZFP101,350.0
FOS,RCC1,392.0
FOS,CHORDC1,548.0
FOS,ZDHHC13,453.0
FOS,SLC11A2,544.0
FOS,ZDHHC24,367.0
FOS,SLC43A2,312.0
FOS,VPS33A,1627.0
FOS,UHRF1,492.0
FOS,ZRANB1,319.0
FOS,TASP1,486.0
FOS,TNFRSF1B,361.0
FOS,TSC22D1,362.0
FOS,E2F6,356.0
FOS,CDC45,331.0
FOS,ATG16L2,298.0
FOS,ABCB4,529.0
FOS,PDE4B,467.0
FOS,ANTXR2,342.0
FOS,CCNF,456.0
FOS,TCP1,397.0
FOS,RETREG2,1232.0
FOS,IFIT3,516.0
FOS,ZFAND5,268.0
FOS,IL7,439.0
FOS,TCAF1,420.0
FOS,UAP1,471.0
FOS,SLC30A5,311.0
FOS,SGO1,968.0
FOS,ATAD2,296.0
FOS,CTSD,376.0
FOS,RALGDS,593.0
FOS,ELAC2,462.0
FOS,AQP9,565.0
FOS,CERS6,368.0
FOS,REL,325.0
FOS,NEK2,461.0
FOS,BIRC5,584.0
FOS,LRRFIP1,377.0
FOS,EBI3,508.0
FOS,CST7,482.0
FOS,MT1,413.0
FOS,CASP1,463.0
FOS,NUP88,523.0
FOS,METAP2,374.0
FOS,MKI67,533.0
FOS,NSDHL,433.0
FOS,PARP8,267.0
FOS,RTEL1,234.0
FOS,CTLA2A,1164.0
FOS,CLU,472.0
FOS,CENPF,514.0
FOS,HMGB2,494.0
FOS,JUN,587.0
FOS,MON2,433.0
FOS,PIRB,542.0
FOS,PPP1R15A,207.0
FOS,INTS6,343.0
FOS,DNPEP,252.0
FOS,LY9,462.0
FOS,OTUB2,409.0
FOS,IFRD2,466.0
FOS,RCBTB1,1285.0
FOS,KIF22,426.0
FOS,SLC26A2,414.0
FOS,PSAT1,278.0
FOS,DUSP1,369.0
FOS,HDAC7,545.0
FOS,PLD3,523.0
FOS,EMILIN2,348.0
FOS,ABLIM1,470.0
FOS,GDAP2,434.0
FOS,ZBTB43,486.0
FOS,NDEL1,461.0
FOS,DHX35,621.0
FOS,PITRM1,287.0
FOS,LYSMD3,280.0
FOS,ARMT1,1426.0
FOS,TNFSF10,445.0
FOS,MCM10,349.0
FOS,SMIM13,299.0
FOS,REXO2,327.0
FOS,KPNA3,298.0
FOS,TMC6,335.0
FOS,TMEM33,225.0
FOS,NAA50,279.0
FOS,IARS,383.0
FOS,MORC2A,777.0
FOS,DAPP1,344.0
FOS,HSD3B7,425.0
FOS,AP5M1,231.0
FOS,DCP1A,550.0
FOS,PSMD1,213.0
FOS,STAT3,243.0
FOS,IFITM6,380.0
FOS,EDRF1,203.0
FOS,TSPAN8,355.0
FOS,OLR1,406.0
FOS,CST3,447.0
FOS,GSR,322.0
FOS,TMBIM1,308.0
FOS,F11R,308.0
FOS,HAGH,317.0
FOS,SUMF1,768.0
FOS,NDUFB9,265.0
FOS,CYB5R3,350.0
FOS,BTG2,229.0
FOS,MARS,319.0
FOS,CCL3,824.0
FOS,RAB27B,336.0
FOS,TIMM29,226.0
FOS,S100A6,335.0
FOS,B230219D22RIK,247.0
FOS,SH3BP5,308.0
FOS,SESN1,261.0
FOS,HSPA4,302.0
FOS,ESYT2,235.0
FOS,ABHD17B,361.0
FOS,TMEM129,255.0
FOS,TACC3,255.0
FOS,FGL2,263.0
FOS,TCIRG1,305.0
FOS,CD53,379.0
FOS,ERCC8,258.0
FOS,MEX3C,277.0
FOS,GOSR2,443.0
FOS,NUDCD1,338.0
FOS,SLC25A21,514.0
FOS,METTL27,275.0
FOS,MPP5,265.0
FOS,PTPN12,357.0
FOS,GALK2,226.0
FOS,SELPLG,382.0
FOS,PAFAH1B2,257.0
FOS,BUB1,420.0
FOS,ATP6AP2,381.0
FOS,NUP93,151.0
FOS,RBPMS,252.0
FOS,CASP4,362.0
FOS,DPP7,1208.0
FOS,RABIF,274.0
FOS,CSTF1,432.0
FOS,AURKA,432.0
FOS,TMEM229B,364.0
FOS,GNA13,317.0
FOS,SNX10,407.0
FOS,CDK19,489.0
FOS,DUSP2,389.0
FOS,ATP1A3,351.0
FOS,PDGFRB,331.0
FOS,UMPS,241.0
FOS,C3,357.0
FOS,LEPROT,313.0
FOS,MAT2A,259.0
FOS,DNAJC10,247.0
FOS,NEURL3,356.0
FOS,EIF4EBP1,324.0
FOS,OAT,258.0
FOS,HAT1,307.0
FOS,HUS1,227.0
FOS,GCLM,331.0
FOS,ANKRD27,328.0
FOS,DUSP5,315.0
FOS,CCNA2,233.0
FOS,HPN,323.0
FOS,ILVBL,275.0
FOS,ARID5A,286.0
FOS,LDLR,381.0
FOS,ZFP655,331.0
FOS,RGCC,242.0
FOS,CTSZ,439.0
FOS,LRRC59,279.0
FOS,HSPA1A,321.0
FOS,CCL4,824.0
FOS,TMEM38A,208.0
FOS,ADO,243.0
FOS,RRM2,304.0
FOS,NUPR1,364.0
FOS,EIF5A,298.0
FOS,MAPK9,231.0
FOS,PEA15A,365.0
FOS,TCTN3,185.0
FOS,SLC31A1,229.0
FOS,CNRIP1,258.0
FOS,DPY19L3,453.0
FOS,TPX2,228.0
FOS,NT5C2,220.0
FOS,CRY2,190.0
FOS,WFDC17,374.0
FOS,SGTA,222.0
FOS,GALNT6,310.0
FOS,MICU1,236.0
FOS,CCNG2,335.0
FOS,CAST,293.0
FOS,CALU,209.0
FOS,MPDZ,440.0
FOS,PAQR7,315.0
FOS,MS4A6B,323.0
FOS,DUS1L,589.0
FOS,TGM2,419.0
FOS,FAM111A,470.0
FOS,GORASP1,263.0
FOS,TMEM154,210.0
FOS,WDSUB1,301.0
FOS,PQLC3,248.0
FOS,AMPD3,271.0
FOS,GBP7,260.0
FOS,FADS3,298.0
FOS,VPS50,725.0
FOS,FBXO30,181.0
FOS,VPS26C,162.0
FOS,SEC24D,211.0
FOS,CDC20,269.0
FOS,ZFP952,329.0
FOS,STX17,197.0
FOS,ITGB1,251.0
FOS,RGS2,177.0
FOS,LY6A,331.0
FOS,PLK2,330.0
FOS,VPS11,674.0
FOS,L2HGDH,274.0
FOS,TOR3A,213.0
FOS,PSMD7,176.0
FOS,ZFP451,218.0
FOS,SCFD1,232.0
FOS,I830077J02RIK,340.0
FOS,CSF1R,319.0
FOS,IFITM3,311.0
FOS,SLC30A6,300.0
FOS,SLC2A6,206.0
FOS,MS4A4C,310.0
FOS,LIG1,198.0
FOS,RASSF5,212.0
FOS,UBE2G2,251.0
FOS,CTC1,287.0
FOS,ALG9,339.0
FOS,GRK3,251.0
FOS,PTPN22,302.0
FOS,GTF2H1,795.0
FOS,INTS4,216.0
FOS,TRMT2A,200.0
FOS,RANBP1,200.0
FOS,ANXA6,235.0
FOS,PSMD3,224.0
FOS,PIF1,280.0
FOS,REXO4,437.0
FOS,NEIL3,482.0
FOS,IPO4,209.0
FOS,ABTB1,188.0
FOS,NOLC1,153.0
FOS,GABBR1,343.0
FOS,TNFAIP8,212.0
FOS,GPX1,290.0
FOS,THBS1,332.0
FOS,TOP3B,324.0
FOS,YPEL3,224.0
FOS,RAB31,283.0
FOS,LARS2,437.0
FOS,LRRC49,211.0
FOS,RRAD,475.0
FOS,HSPH1,233.0
FOS,UBA3,283.0
FOS,SLC35A4,194.0
FOS,NR3C2,286.0
FOS,CAMK1D,389.0
FOS,RSAD2,378.0
FOS,D1ERTD622E,237.0
FOS,ARHGAP12,505.0
FOS,APP,163.0
FOS,TRMT6,367.0
FOS,POT1A,180.0
FOS,PQLC1,217.0
FOS,FLVCR1,284.0
FOS,LONP1,430.0
FOS,KLF3,221.0
FOS,SLC20A1,204.0
FOS,ACSS2,221.0
FOS,EPRS,135.0
FOS,METAP1D,434.0
FOS,HK3,212.0
FOS,USP48,178.0
FOS,IGSF6,270.0
FOS,MLKL,271.0
FOS,NT5C3,296.0
FOS,CYB5R1,210.0
FOS,TRIM30A,246.0
FOS,ETNK1,589.0
FOS,TVP23B,208.0
FOS,CTR9,181.0
FOS,HYOU1,288.0
FOS,VAV3,287.0
FOS,FUT7,356.0
FOS,SPI1,203.0
FOS,TPP1,340.0
FOS,SUPT7L,531.0
FOS,STEAP3,212.0
FOS,TXNDC11,188.0
FOS,TRIM30D,320.0
FOS,TBC1D15,223.0
FOS,TMEM71,248.0
FOS,CCDC50,244.0
FOS,REEP6,226.0
FOS,CTPS,275.0
FOS,TMEM37,204.0
FOS,MR1,230.0
FOS,RASA3,240.0
FOS,GTF2F1,261.0
FOS,SEH1L,213.0
FOS,MIS18BP1,305.0
FOS,APPL1,228.0
FOS,SEC23IP,230.0
FOS,UBAP1,626.0
FOS,PATL1,481.0
FOS,D10WSU102E,195.0
FOS,NUDCD3,432.0
FOS,GATA2,761.0
FOS,CLEC4E,287.0
FOS,ALDH9A1,160.0
FOS,H2-Q7,330.0
FOS,SLC18A1,216.0
FOS,SERPINB9,163.0
FOS,ACOX1,198.0
FOS,SHMT1,341.0
FOS,TOMM70A,200.0
FOS,DDX20,227.0
FOS,OSBPL8,186.0
FOS,ATG16L1,187.0
FOS,RRAS,311.0
FOS,GAA,217.0
FOS,GALNT11,338.0
FOS,RFC4,318.0
FOS,NABP1,246.0
FOS,RETREG1,195.0
FOS,PPCDC,163.0
FOS,CTSC,234.0
FOS,MTMR6,185.0
FOS,OTULINL,283.0
FOS,GPR18,257.0
FOS,MYLIP,256.0
FOS,MTREX,216.0
FOS,ANXA3,292.0
FOS,RTP4,240.0
FOS,PLPP1,230.0
FOS,NAE1,276.0
FOS,1700066M21RIK,297.0
FOS,ACOX3,183.0
FOS,SUMO3,175.0
FOS,TMX4,236.0
FOS,DHRS3,710.0
FOS,HCLS1,259.0
FOS,SNRNP200,417.0
FOS,ZFP322A,176.0
FOS,SLC25A37,239.0
FOS,PJA2,358.0
FOS,ENPP5,394.0
FOS,AURKB,315.0
FOS,UBXN11,222.0
FOS,SLCO4A1,262.0
FOS,TM6SF1,330.0
FOS,IL7R,178.0
FOS,DOK2,240.0
FOS,SLC26A11,201.0
FOS,FBXL4,169.0
FOS,NCLN,213.0
FOS,PTDSS2,169.0
