Gene1,Gene2
JARID2,TUBB2A
JARID2,APPL2
JARID2,UGCG
JARID2,FHOD1
JARID2,PRDX1
JARID2,PIK3R1
JARID2,MTUS1
JARID2,ACTL6A
JARID2,MIA3
JARID2,TFEB
JARID2,KAT6B
JARID2,FURIN
JARID2,CAT
JARID2,SDCBP
JARID2,SLC16A6
JARID2,FLNB
JARID2,DUSP9
JARID2,HIST1H3G
JARID2,MCAM
JARID2,FLRT3
JARID2,FBRSL1
JARID2,SUCLG2
JARID2,KRTCAP2
JARID2,AQP3
JARID2,ISY1
JARID2,WAPL
JARID2,TXNDC5
JARID2,KMT2C
JARID2,TMEM165
JARID2,FKBP1A
JARID2,2200002D01RIK
JARID2,MYO6
JARID2,QDPR
JARID2,RUVBL2
JARID2,BCAR3
JARID2,AHDC1
JARID2,SEL1L
JARID2,CR1L
JARID2,UBLCP1
JARID2,SOAT1
JARID2,LDLRAP1
JARID2,GNS
JARID2,IMPDH2
JARID2,FANCA
JARID2,ANXA4
JARID2,SPINT1
JARID2,SERBP1
JARID2,FNIP2
JARID2,WASHC2
JARID2,REEP5
JARID2,OAT
JARID2,MLEC
JARID2,PRKAB1
JARID2,ARHGAP28
JARID2,STARD4
JARID2,SLC12A4
JARID2,MARC2
JARID2,HMGN2
JARID2,CACYBP
JARID2,SLC7A1
JARID2,HEXB
JARID2,GNPTAB
JARID2,CDH1
JARID2,ARAP2
JARID2,UBE2H
JARID2,IMPAD1
JARID2,CERS6
JARID2,P4HA1
JARID2,ZBTB38
JARID2,GAA
JARID2,SNURF
JARID2,SNRPN
JARID2,NUP210
JARID2,HYOU1
JARID2,FAM234A
JARID2,DBR1
JARID2,MT2
JARID2,HIP1
JARID2,SRRT
JARID2,RRBP1
JARID2,TLE1
JARID2,FN1
JARID2,EZH2
JARID2,ASF1B
JARID2,LOXL2
JARID2,PRODH
JARID2,AGK
JARID2,PMM1
JARID2,FXYD6
JARID2,ZFC3H1
JARID2,SP1
JARID2,SEC24A
JARID2,IFRD2
JARID2,GLIPR2
JARID2,PTP4A1
JARID2,PARL
JARID2,BCAT1
JARID2,GLI2
JARID2,ARL8A
JARID2,PREB
JARID2,EFEMP2
JARID2,CREB3L2
JARID2,BCLAF3
JARID2,G3BP2
JARID2,TUBB6
JARID2,KLF2
JARID2,TMOD3
JARID2,SLC44A3
JARID2,TXNDC11
JARID2,TCF15
JARID2,PTPN3
JARID2,NID1
JARID2,DBN1
JARID2,PLEKHA1
JARID2,NFXL1
JARID2,MDM2
JARID2,CTPS
JARID2,BNIP3
JARID2,SNX2
JARID2,SNX8
JARID2,MRPL42
JARID2,HSPH1
JARID2,CYSTM1
JARID2,TUBB3
JARID2,UBA2
JARID2,RANGAP1
JARID2,PRPS2
JARID2,CARMIL1
JARID2,TMEM214
JARID2,SMC2
JARID2,TIMM23
JARID2,LANCL1
JARID2,CDIPT
JARID2,YPEL2
JARID2,VANGL1
JARID2,FBXO22
JARID2,VMP1
JARID2,USP22
JARID2,RAPH1
JARID2,MSL3
JARID2,MCM7
JARID2,APPBP2
JARID2,AP4M1
JARID2,WDFY1
JARID2,FSCN1
JARID2,CRIP2
JARID2,NPC1
JARID2,LPCAT3
JARID2,TM9SF3
JARID2,MSMO1
JARID2,MOB3B
JARID2,HMGCR
JARID2,F2R
JARID2,CEBPZ
JARID2,ALDH2
JARID2,RCC1
JARID2,PIM1
JARID2,GLS
JARID2,GABPA
JARID2,FANCI
JARID2,ERP44
JARID2,CALM1
JARID2,ZFP141
JARID2,SAT1
JARID2,PIGK
JARID2,AMOTL2
JARID2,AHSA1
JARID2,SPCS2
JARID2,D230025D16RIK
JARID2,CAPZB
JARID2,SLC50A1
JARID2,PTTG1IP
JARID2,PABPC4
JARID2,CBX7
JARID2,ATP11B
JARID2,ASAH1
JARID2,HSPG2
JARID2,ARF4
JARID2,GFPT1
JARID2,EZR
JARID2,BC017158
JARID2,TSEN2
JARID2,STARD8
JARID2,RETREG1
JARID2,CDC42SE2
JARID2,TCEA3
JARID2,INSIG1
JARID2,DDX21
JARID2,SRPRB
JARID2,RPL5
JARID2,RPA1
JARID2,FBXW9
JARID2,DHCR24
JARID2,NOP2
JARID2,NAA35
JARID2,USP10
JARID2,GLUL
JARID2,TUBB4B
JARID2,RPN1
JARID2,OPLAH
JARID2,ETL4
JARID2,CLTC
JARID2,RASGRP2
JARID2,MYMX
JARID2,MPZL1
JARID2,MAT2A
JARID2,CALR
JARID2,ZDHHC18
JARID2,UBE2D1
JARID2,TMEM231
JARID2,SREBF1
JARID2,PSAP
JARID2,IFRD1
JARID2,RCOR2
JARID2,NELFCD
JARID2,HIKESHI
JARID2,ERLIN1
JARID2,LYAR
JARID2,ZFP961
JARID2,SSR3
JARID2,PPFIBP1
JARID2,MYL4
JARID2,CRTAP
JARID2,COPG1
JARID2,CCNB2
JARID2,4932438A13RIK
JARID2,SLC16A1
JARID2,MME
JARID2,LY75
JARID2,GART
JARID2,SRXN1
JARID2,NEK2
JARID2,HIST1H3H
JARID2,ATP6V0B
JARID2,MPZL2
JARID2,MAT2B
JARID2,HEBP1
JARID2,EED
JARID2,AHCYL2
JARID2,NID2
JARID2,ERCC5
JARID2,ASNS
JARID2,VCP
JARID2,P3H1
JARID2,FAM83D
JARID2,SMARCAD1
JARID2,SAMD4B
JARID2,POLR1B
JARID2,POFUT2
JARID2,NOP56
JARID2,GRAMD1A
JARID2,TERF1
JARID2,ASXL1
JARID2,WFDC2
JARID2,TLN1
JARID2,MIF
JARID2,MAP4K4
JARID2,EXOSC3
JARID2,CREB3
JARID2,SIDT2
JARID2,SESN2
JARID2,EIF4EBP1
JARID2,ANXA2
JARID2,TIMELESS
JARID2,SHISA5
JARID2,RRN3
JARID2,NUP93
JARID2,NUDC
JARID2,MTF2
JARID2,KAZN
JARID2,UBC
JARID2,TNS3
JARID2,SRSF3
JARID2,SLC19A2
JARID2,SHCBP1
JARID2,OST4
JARID2,NUF2
JARID2,NCOA3
JARID2,MFGE8
JARID2,FKBP11
JARID2,BSG
JARID2,ANP32B
JARID2,UAP1
JARID2,TRH
JARID2,SNX5
JARID2,FABP3
JARID2,EMC8
JARID2,EHD1
JARID2,CTNNAL1
JARID2,ALDH9A1
JARID2,SPATA5
JARID2,PSMG4
JARID2,PPID
JARID2,PDIA6
JARID2,INSIG2
JARID2,FAHD2A
JARID2,CHAF1B
JARID2,TDH
JARID2,POLE4
JARID2,JMJD1C
JARID2,HSP90AA1
JARID2,FUBP1
JARID2,DHX32
JARID2,STMN1
JARID2,SERPINB6A
JARID2,RPP25
JARID2,RNASEH2A
JARID2,RHPN2
JARID2,PPP3CB
JARID2,POP1
JARID2,PA2G4
JARID2,GGA2
JARID2,NAGK
JARID2,HSPA5
JARID2,AKR1B3
JARID2,TMEM128
JARID2,PCNA
JARID2,METTL17
JARID2,EPHB3
JARID2,SLC30A7
JARID2,RESF1
JARID2,ADSL
JARID2,TMEM150A
JARID2,SWT1
JARID2,SMTNL2
JARID2,RMC1
JARID2,EPS8L2
JARID2,ZFP991
JARID2,TBRG1
JARID2,UNG
JARID2,TCAF1
JARID2,SPC25
JARID2,RMND5B
JARID2,MCFD2
JARID2,LY6E
JARID2,FBXO15
JARID2,ASPM
JARID2,WDR75
JARID2,MAPKAPK3
JARID2,LIMA1
JARID2,DHPS
JARID2,CTSL
JARID2,BAIAP2
JARID2,ASPSCR1
JARID2,UCKL1
JARID2,SEC11A
JARID2,PLSCR1
JARID2,PDXDC1
JARID2,GRINA
JARID2,TFRC
JARID2,SLC7A5
JARID2,SELENOW
JARID2,MICU1
JARID2,IDI1
JARID2,GABARAPL2
JARID2,DDX27
JARID2,CTSA
JARID2,ARFGAP1
JARID2,LPCAT4
JARID2,GCC2
JARID2,FTSJ3
JARID2,CNN2
JARID2,CDC20
JARID2,ADAM23
JARID2,XBP1
JARID2,UPP1
JARID2,SUN1
JARID2,PTPN4
JARID2,PARP1
JARID2,LGALS3
JARID2,KLC1
JARID2,ITM2B
JARID2,GNA12
JARID2,MIS18BP1
JARID2,GLO1
JARID2,CHST12
JARID2,CCN2
JARID2,NCL
JARID2,DNAJC3
JARID2,CTNS
JARID2,CDS2
JARID2,FRYL
JARID2,ATP6V0E
JARID2,AP2A2
JARID2,SDC4
JARID2,MFSD11
JARID2,KDELR2
JARID2,PCOLCE2
JARID2,ERP29
JARID2,AHCY
JARID2,ABHD16A
JARID2,TSPAN4
JARID2,TBC1D17
JARID2,PKM
JARID2,NDRG4
JARID2,MAGI1
JARID2,CTSB
JARID2,PPIC
JARID2,FLCN
JARID2,COQ8A
JARID2,CHCHD7
JARID2,SNX27
JARID2,RAD54B
JARID2,R3HDM2
JARID2,ITGB1
JARID2,IQSEC1
JARID2,BNC2
JARID2,1700019D03RIK
JARID2,PFKL
JARID2,MARCKS
JARID2,INTS13
JARID2,GNPDA1
JARID2,RPN2
JARID2,N4BP3
JARID2,DNAJB11
KDM5B,SFI1
KLF4,ASS1
KLF4,KLF3
KLF4,TUBB2A
KLF4,DST
KLF4,ARHGAP28
KLF4,RANGAP1
KLF4,ECH1
KLF4,HSP90AA1
KLF4,FBXO15
KLF4,MRPS18B
KLF4,MICU1
KLF4,HSPE1
KLF4,HSPD1
KLF4,PSAP
KLF4,ARPC1B
KLF4,RBM38
KLF4,LRRC1
KLF4,KNTC1
KLF4,NDRG1
KLF4,NCOA3
KLF4,STMN1
KLF4,EBNA1BP2
KLF4,GNG5
KLF4,FBRSL1
KLF4,VKORC1
KLF4,LGALS3
KLF4,MLLT6
KLF4,PRODH
KLF4,RUVBL2
KLF4,ALDH9A1
KLF4,SLC12A7
KLF4,MAP4K4
KLF4,RAPH1
KLF4,CLTC
KLF4,LMNB1
KLF4,CDC42SE2
KLF4,VIM
KLF4,ABTB1
KLF4,LAMP1
KLF4,SETX
KLF4,KDM3A
KLF4,ODC1
KLF4,XAF1
KLF4,FKBP1A
KLF4,NOTCH1
KLF4,RFFL
KLF4,NAGK
KLF4,TUBB6
KLF4,LAMC1
KLF4,SFI1
KLF4,C2CD5
KLF4,RIF1
KLF4,PTBP3
KLF4,ANXA5
KLF4,LDLRAP1
KLF4,PDXDC1
KLF4,SIRT1
KLF4,SMC2
KLF4,PPP3CB
KLF4,LAMB2
KLF4,ASPSCR1
KLF4,SNX8
KLF4,CC2D1B
KLF4,HSP90AB1
KLF4,RAB11A
KLF4,SET
KLF4,TXNDC11
KLF4,RYBP
KLF4,HDLBP
KLF4,DLGAP4
KLF4,RTN4
KLF4,GSR
KLF4,REEP5
KLF4,MTF2
KLF4,OST4
KLF4,SLC16A1
KLF4,SPRY4
KLF4,TBRG1
KLF4,USP10
KLF4,SLC1A5
KLF4,AGPAT2
KLF4,AGK
KLF4,LATS2
KLF4,SUN1
KLF4,USP28
KLF4,NAT10
KLF4,ANXA2
KLF4,CD151
KLF4,MARCH8
KLF4,ELF2
KLF4,NAA35
KLF4,TEX264
KLF4,S100A6
KLF4,ILK
KLF4,UHRF2
KLF4,PPIB
KLF4,SERPINB6A
KLF4,REV1
KLF4,ATF4
KLF4,MIS18BP1
KLF4,SDC4
KLF4,ITM2B
KLF4,BSG
KLF4,LAP3
KLF4,CTNNAL1
KLF4,STARD3NL
KLF4,ASXL1
KLF4,POLE4
KLF4,FAM234A
KLF4,PALLD
KLF4,PPP2R5B
KLF4,FRRS1
KLF4,ARFGEF1
KLF4,ASNS
KLF4,AHSA2
KLF4,CHST12
KLF4,IFRD2
KLF4,WDR77
KLF4,PHF20
KLF4,MGST3
KLF4,DAP
KLF4,PDK1
KLF4,SLC3A2
KLF4,PABPC4
KLF4,LMF2
KLF4,MFSD1
KLF4,NSUN2
KLF4,TRMT2A
KLF4,SPRYD3
KLF4,TMEM150A
KLF4,POFUT2
KLF4,TXNIP
KLF4,UAP1
KLF4,KCTD9
KLF4,CDCA2
KLF4,CALR
KLF4,ZFP367
KLF4,MAPRE2
KLF4,RCN1
KLF4,CHCHD10
KLF4,TLN1
KLF4,CREB3
KLF4,RTEL1
KLF4,FAM168A
KLF4,MAPKAPK2
KLF4,ZFP42
KLF4,1700019D03RIK
KLF4,GABARAP
KLF4,LZIC
KLF4,ERLIN1
KLF4,ITGB1
KLF4,TUBB4B
KLF4,ZBTB10
KLF4,PLTP
KLF4,USP22
KLF4,DCBLD1
KLF4,TCF4
KLF4,EIF4EBP1
KLF4,RAC1
KLF4,SREBF1
KLF4,B3GNT5
KLF4,MYL4
KLF4,4930402H24RIK
KLF4,TUBA1B
KLF4,TUBB2B
KLF4,TEAD1
KLF4,ABCC5
KLF4,PTPN14
KLF4,CBFA2T2
KLF4,RABGGTB
KLF4,STARD4
KLF4,FLNB
KLF4,IFRD1
KLF4,PDLIM1
KLF4,PIK3R1
KLF4,GLS
KLF4,CDKN1A
KLF4,GCLM
KLF4,NR5A2
KLF4,SERPING1
KLF4,SYNJ1
KLF4,PCOLCE2
KLF4,B4GALT5
KLF4,MRPS5
KLF4,GNPDA1
KLF4,MFGE8
KLF4,SLC25A40
KLF4,DBF4
KLF4,GNB2
KLF4,STK38
KLF4,LMBRD1
KLF4,TBC1D13
KLF4,KLC1
KLF4,MFSD11
KLF4,B4GALT1
KLF4,CALM1
KLF4,PGD
KLF4,KAZN
KLF4,GDI1
KLF4,KPNB1
KLF4,CPEB2
KLF4,CLCN6
KLF4,AMOTL2
KLF4,TDGF1
KLF4,ARPC5
KLF4,NID1
KLF4,RLIM
KLF4,FERMT2
KLF4,PIM1
KLF4,FBXO5
KLF4,MSH6
KLF4,SDCBP
KLF4,SMAD2
KLF4,FKBP9
KLF4,MT2
KLF4,CST3
KLF4,GNAI3
KLF4,PLEKHF2
KLF4,KLF10
KLF4,PLSCR1
KLF4,PIPOX
KLF4,CCDC9
KLF4,PYCR2
KLF4,PHIP
KLF4,FHDC1
KLF4,FAM107B
KLF4,GNA12
KLF4,CRIP2
KLF4,CPD
KLF4,SEC31A
KLF4,GALNT2
KLF4,ATP6V0E
KLF4,GLB1
KLF4,CMIP
KLF4,MYH9
KLF4,CBL
KLF4,EMC8
KLF4,HSPA8
KLF4,SPC25
KLF4,TINAGL1
KLF4,PRDX1
KLF4,SLC25A1
KLF4,RHPN2
KLF4,ENAH
KLF4,S100A11
KLF4,RESF1
KLF4,GSN
KLF4,MYMX
KLF4,KRT8
KLF4,ARHGAP1
KLF4,DRAM1
KLF4,SAR1A
KLF4,UBE2D1
KLF4,PPFIBP1
KLF4,DHX32
KLF4,BANP
KLF4,WDR1
KLF4,KCTD10
KLF4,NEDD4
KLF4,ETV1
KLF4,RUSC2
KLF4,FIGNL1
KLF4,USP3
KLF4,AMPD2
KLF4,PPM1G
KLF4,COLGALT1
KLF4,DEGS1
KLF4,CARHSP1
KLF4,CKAP4
KLF4,AMDHD2
KLF4,CSRP2
KLF4,ARL8A
KLF4,SQLE
KLF4,PKM
KLF4,IKBIP
KLF4,APAF1
KLF4,ATP11B
KLF4,TRIM59
KLF4,VPS51
KLF4,CD63
KLF4,RPL12
KLF4,HMGN2
KLF4,ARHGAP29
KLF4,SEC23A
KLF4,FOXO3
KLF4,WASHC2
KLF4,SUDS3
KLF4,2200002D01RIK
KLF4,BRAF
KLF4,DNAJC10
KLF4,PTPN4
KLF4,SLC25A39
KLF4,SND1
KLF4,FAM129B
KLF4,SELENOI
KLF4,RARG
KLF4,CHCHD7
KLF4,LAMP2
KLF4,RAB3IL1
KLF4,PHLDA3
KLF4,GLIPR2
KLF4,TAGLN2
KLF4,KNL1
KLF4,SEC11A
KLF4,WARS
KLF4,TPM1
KLF4,OPLAH
KLF4,LYAR
KLF4,APPBP2
KLF4,HMCES
KLF4,DENND2C
KLF4,TFG
KLF4,NCLN
KLF4,MAGI1
KLF4,PLEKHA1
KLF4,VMP1
KLF4,MGA
KLF4,MAT2A
KLF4,BNIP3
KLF4,APEX1
KLF4,NUP93
KLF4,TMEM39A
KLF4,SKP1A
KLF4,KIF11
KLF4,GALK1
KLF4,TWF1
KLF4,NF2
KLF4,CALU
KLF4,STXBP5
KLF4,CDS2
KLF4,ARAP2
KLF4,HMGCS1
KLF4,MTHFD2
KLF4,PODXL
KLF4,PA2G4
KLF4,NOTCH4
KLF4,IER2
KLF4,TANGO2
KLF4,SHISA5
KLF4,SLC39A13
KLF4,RETREG1
KLF4,CPM
KLF4,NKTR
KLF4,RMC1
KLF4,ASAH1
KLF4,DPY30
KLF4,SOCS2
KLF4,GABBR1
KLF4,WWTR1
KLF4,CCNE1
KLF4,PIEZO1
KLF4,CSNK1E
KLF4,CLPB
KLF4,SEC62
KLF4,IMPDH1
KLF4,ERP29
KLF4,PHC1
KLF4,CMTM7
KLF4,GART
KLF4,EDEM1
KLF4,CISD3
KLF4,STXBP2
KLF4,ARF4
KLF4,KPNA4
KLF4,ARAP1
KLF4,MPZL1
KLF4,GNE
KLF4,UGCG
KLF4,SLC20A1
KLF4,DSTN
KLF4,SLC19A2
KLF4,NFYA
KLF4,ARPC2
KLF4,ALG9
KLF4,TAX1BP3
KLF4,TMOD3
KLF4,VWA5A
KLF4,SWT1
KLF4,CCT7
KLF4,ASPH
KLF4,CERS4
KLF4,RDM1
KLF4,RTN3
KLF4,CNN3
KLF4,PDIA6
KLF4,ELAVL2
KLF4,MYO6
KLF4,MDN1
KLF4,ERP44
KLF4,PRDX4
KLF4,PATJ
KLF4,CTSB
KLF4,SETD7
KLF4,ATP8B2
KLF4,FKBP5
KLF4,TCF7L2
KLF4,CTSC
KLF4,CSTB
KLF4,ABCC1
KLF4,FBXW9
KLF4,PTMS
KLF4,L1TD1
KLF4,TRIM28
KLF4,CEP170B
KLF4,ETS1
KLF4,RANBP17
KLF4,DDOST
KLF4,ZMYM1
KLF4,VARS
KLF4,HSPBP1
KLF4,G6PC3
KLF4,CACFD1
KLF4,FDPS
KLF4,POLR1B
KLF4,RRAGC
KLF4,HERPUD1
KLF4,NPTN
KLF4,REST
KLF4,IMPDH2
KLF4,LDB1
KLF4,CNDP2
KLF4,ELF1
KLF4,AQP3
KLF4,SEC61A1
KLF4,SEC24A
KLF4,CAMK2D
KLF4,LRRC59
KLF4,RBPMS2
KLF4,PARP1
KLF4,CALM2
KLF4,NID2
KLF4,TRIM2
KLF4,FRMD4A
KLF4,SURF4
KLF4,ZBTB44
KLF4,CTTN
KLF4,DEK
KLF4,MPHOSPH8
KLF4,CITED2
KLF4,FNBP1
KLF4,GRK6
KLF4,SPTSSA
KLF4,EP300
KLF4,CTDSPL
KLF4,ME1
KLF4,ARF1
KLF4,IRF2BPL
KLF4,XPNPEP1
KLF4,HPCAL1
KLF4,KIF2C
KLF4,HSPB1
KLF4,MYLPF
KLF4,CHEK1
KLF4,ERF
KLF4,MFSD10
KLF4,SYNE2
KLF4,MYBL2
KLF4,ARHGEF28
KLF4,SAP30
KLF4,LRPAP1
KLF4,LPCAT3
KLF4,CR1L
KLF4,BAIAP2
KLF4,TRIM24
KLF4,FNIP2
KLF4,TFCP2L1
KLF4,TRAF4
KLF4,NRG1
KLF4,CUL7
KLF4,PHF11D
KLF4,TPM4
KLF4,PIM3
KLF4,ITGA6
KLF4,SLC7A5
KLF4,UBLCP1
KLF4,SMTNL2
KLF4,TNS1
KLF4,BCAM
KLF4,RBMS1
KLF4,EZR
KLF4,SRSF3
KLF4,TNKS
KLF4,GSE1
KLF4,ITGA9
KLF4,HIPK2
KLF4,MCOLN1
KLF4,RNPEP
KLF4,FBXO2
KLF4,ADGRL1
KLF4,DDA1
KLF4,GRAMD1A
KLF4,NFXL1
KLF4,UCHL1
KLF4,SNX1
KLF4,FLII
KLF4,SP1
KLF4,CHAF1B
KLF4,CACYBP
KLF4,4932438A13RIK
KLF4,HEBP1
KLF4,IDI1
KLF4,SLC7A1
KLF4,SLC12A4
KLF4,RBPJ
KLF4,AU018091
KLF4,CTSD
KLF4,SELENOK
KLF4,CIAPIN1
KLF4,DHCR7
KLF4,QDPR
KLF4,DNAJC3
KLF4,ANP32B
KLF4,RBBP7
KLF4,AGPAT4
KLF4,RPA1
KLF4,BCAS3
KLF4,SLC16A6
KLF4,TCF12
KLF4,EIF4A2
KLF4,RNASEH2A
KLF4,DSP
KLF4,P3H1
KLF4,APPL2
KLF4,FUBP1
KLF4,LDLR
KLF4,STAG3
KLF4,SPINT1
KLF4,PTMA
KLF4,ACADM
KLF4,YPEL2
KLF4,MUS81
KLF4,SPRY2
KLF4,NOP2
KLF4,CCDC50
KLF4,SOD1
KLF4,MORF4L2
KLF4,GLUL
KLF4,NOP56
KLF4,CDIPT
KLF4,TFRC
KLF4,PPP1R21
KLF4,MID1IP1
KLF4,TNK1
KLF4,PROS1
KLF4,PFKP
KLF4,CREB3L2
KLF4,SFRP1
KLF4,SERP1
KLF4,CACHD1
KLF4,TUBB3
KLF4,PVR
KLF4,PGRMC1
KLF4,GRB10
KLF4,TPRA1
KLF4,PSMD14
KLF4,PCNA
KLF4,MEPCE
KLF4,SAMD4B
KLF4,TTC7
KLF4,STX5A
KLF4,RMND5B
KLF4,USF1
KLF4,SH3PXD2B
KLF4,SEC61B
KLF4,H2AFV
KLF4,NASP
KLF4,LASP1
KLF4,CPNE1
KLF4,NCAPD2
KLF4,SPATA13
KLF4,RAN
KLF4,SRI
KLF4,RRBP1
KLF4,MRPL18
KLF4,JMJD1C
KLF4,MLEC
KLF4,TIMELESS
KLF4,GCC2
KLF4,SPATA5
KLF4,EZH2
KLF4,HIST1H4K
KLF4,WDR75
KLF4,PFN1
KLF4,KMT2C
KLF4,UHRF1
KLF4,TSPAN9
KLF4,PREP
KLF4,UPP1
KLF4,KPNA2
KLF4,LITAF
KLF4,HMGA1
KLF4,HEXB
KLF4,DUSP3
KLF4,PRSS35
KLF4,RHOB
KLF4,AMFR
KLF4,MME
KLF4,ZFPM1
KLF4,EML1
KLF4,PTP4A1
KLF4,PTTG1IP
KLF4,SLC39A14
KLF4,SLC25A4
KLF4,DHPS
KLF4,ARHGEF5
KLF4,PRKAB1
KLF4,TLE1
KLF4,HSPA4
KLF4,RANGRF
KLF4,NR2F6
KLF4,KDM5B
KLF4,SGK1
KLF4,ABHD5
KLF4,TDH
KLF4,DBR1
KLF4,CYBA
KLF4,NFU1
KLF4,TXNDC5
KLF4,SUCLG2
KLF4,PPM1L
KLF4,HK2
KLF4,TSPAN4
KLF4,IQSEC1
KLF4,INSIG2
KLF4,CDC16
KLF4,AP1AR
KLF4,NLGN2
KLF4,SIN3A
KLF4,SELENOS
KLF4,DDAH2
KLF4,NUCKS1
KLF4,FRYL
KLF4,SLC44A1
KLF4,FZR1
KLF4,PLOD2
KLF4,FAM169A
KLF4,NUDC
KLF4,URI1
KLF4,LRP1
KLF4,GCNT1
KLF4,IP6K2
KLF4,PIGK
KLF4,CDT1
KLF4,XBP1
KLF4,PTPN3
KLF4,LMAN1
KLF4,FAM83D
KLF4,ADSL
KLF4,NANS
KLF4,PDIA4
KLF4,LPCAT1
KLF4,PPP2R5A
KLF4,PIR
KLF4,ZFP568
KLF4,PFAS
KLF4,SNX5
KLF4,TMEM165
KLF4,CRTAP
KLF4,SERPINH1
KLF4,COBLL1
KLF4,SNX10
KLF4,MCFD2
KLF4,GMNN
KLF4,ETL4
KLF4,TFEB
KLF4,SQSTM1
KLF4,PDIA3
KLF4,KEAP1
KLF4,HMGCR
KLF4,MPV17
KLF4,RGP1
KLF4,ST3GAL6
KLF4,ASF1B
KLF4,RPL14
KLF4,SPCS2
KLF4,CAPNS1
KLF4,SINHCAF
KLF4,GNPTAB
KLF4,CLMP
KLF4,PMM1
KLF4,HMGA1B
KLF4,PLXNB2
KLF4,LSS
KLF4,CIP2A
KLF4,DMTN
KLF4,SEPT11
KLF4,PWWP2B
KLF4,P4HA2
KLF4,CHIC2
KLF4,NISCH
KLF4,INTS13
KLF4,BEND5
KLF4,FBXO22
KLF4,CARS
KLF4,SRM
KLF4,ZFP710
KLF4,PRPS1
KLF4,GFPT1
KLF4,ABCG2
KLF4,SLC38A2
KLF4,SEC24B
KLF4,SARNP
KLF4,MARC2
KLF4,P4HA1
KLF4,MOSPD3
KLF4,CPT1A
KLF4,MAPKAPK3
KLF4,PAFAH1B3
KLF4,RAI14
KLF4,HELLS
KLF4,CARMIL1
KLF4,NPC1
KLF4,MSMO1
KLF4,PSME2
KLF4,RGS19
KLF4,PYCARD
KLF4,CAPZB
KLF4,LAD1
KLF4,CDC42SE1
KLF4,ACAT1
KLF4,ZFYVE21
KLF4,JARID2
KLF4,5031439G07RIK
KLF4,AFF1
KLF4,ZWINT
KLF4,SRRT
KLF4,KLHL22
KLF4,PRR13
KLF4,HIST1H2AC
KLF4,TBC1D17
KLF4,BCAR3
KLF4,RTN1
KLF4,G3BP2
KLF4,GBF1
KLF4,ITPK1
KLF4,PCOLCE
KLF4,JADE3
KLF4,CCNG1
KLF4,MAN1A
KLF4,MCM6
KLF4,KAT6B
KLF4,NUP210
KLF4,HIST1H1D
KLF4,PLK2
KLF4,FKBP4
KLF4,UBE2C
KLF4,P4HB
KLF4,ORC2
KLF4,CDC20
KLF4,VANGL1
KLF4,MIF
KLF4,PANX1
KLF4,TCEA3
KLF4,TIMP1
KLF4,SEMA4C
KLF4,MYO1C
KLF4,MSC
KLF4,CNPPD1
KLF4,NCL
KLF4,MRPS10
KLF4,CLN6
KLF4,TMTC4
KLF4,NANOG
KLF4,DHCR24
KLF4,COBL
KLF4,PSMG4
KLF4,MRTFA
KLF4,CCN2
KLF4,UQCRQ
KLF4,STT3A
KLF4,LOXL2
KLF4,LAMC2
KLF4,TMEM59
KLF4,CTPS
KLF4,CEP85
KLF4,BMI1
KLF4,SHROOM3
KLF4,SEL1L
KLF4,NPM1
KLF4,LRRC8D
KLF4,PNP
KLF4,ETV5
KLF4,ASPM
KLF4,ATG16L2
KLF4,SLC25A22
KLF4,SERPINE2
KLF4,TPD52
KLF4,CAT
KLF4,LRRC58
KLF4,TMEM263
KLF4,RETREG2
KLF4,KRT18
KLF4,LSR
KLF4,ANXA4
KLF4,FGFR4
KLF4,HSPG2
KLF4,GGTA1
KLF4,ALDH2
KLF4,CERS6
KLF4,TNK2
KLF4,SNX27
KLF4,CDCA7
KLF4,FAM114A1
KLF4,MAGT1
KLF4,FHOD1
KLF4,MCM4
KLF4,FRS2
KLF4,PDIA5
KLF4,MSI2
KLF4,TCAF1
KLF4,LRRC8C
KLF4,PRMT5
KLF4,LY6G6E
KLF4,PEG10
KLF4,CYSTM1
KLF4,PGAM1
KLF4,N4BP3
KLF4,NRG2
KLF4,GRINA
KLF4,RUNX1
KLF4,DBN1
KLF4,MAP3K5
KLF4,ZFP991
KLF4,RREB1
KLF4,REXO5
KLF4,RPN2
KLF4,CCNB2
KLF4,MAN1A2
KLF4,FABP3
KLF4,FTSJ3
KLF4,SLC44A3
KLF4,SATB2
KLF4,CTSZ
KLF4,TBX3
KLF4,PSD4
KLF4,HIST1H2AB
KLF4,KRTCAP2
KLF4,B2M
KLF4,RPL27A
KLF4,BCL2L11
KLF4,PFKL
KLF4,SMYD2
KLF4,SLC7A6
KLF4,GMPPB
KLF4,BOP1
KLF4,LAMA1
KLF4,MCM10
KLF4,HIST1H2BK
KLF4,NT5C
KLF4,PLAT
KLF4,RIMKLB
KLF4,NUSAP1
KLF4,RCC2
KLF4,ZFP980
KLF4,ETV4
KLF4,PRKAA2
KLF4,MROH1
KLF4,F3
KLF4,AMOTL1
KLF4,UBA2
KLF4,FNDC3A
KLF4,CAPN2
KLF4,TRIM6
KLF4,PLOD1
KLF4,IGF2R
KLF4,BAG2
KLF4,MTUS1
KLF4,ITGAV
KLF4,MICAL2
KLF4,SOAT1
KLF4,GADD45G
KLF4,SUZ12
KLF4,SEPT9
KLF4,LLGL2
KLF4,NCOR1
KLF4,TUBA4A
KLF4,GAA
